ID_REF,GSM41252,GSM41253,GSM41254,GSM41255,GSM41256,GSM41257,GSM41258,GSM41259,GSM41260,GSM41264,GSM41265,GSM41266,GSM41279,GSM41280,GSM41281,GSM41785,GSM41786,GSM41787,GSM41788,GSM41789,GSM41790,GSM41791,GSM41792,GSM41793,GSM41797,GSM41798,GSM41799,GSM41811,GSM41812,GSM41813
Q0045,0.196979,-0.0624336,0.00171221,-0.277946,0.238743,0.05786,-0.015716,0.560121,-0.021822,-0.113997,0.12392,-0.226155,-0.856602,-0.90224,-1.20709,-0.182988,0.369165,0.661436,-0.269296,0.288,0.49493,-0.544313,0.534153,0.887335,-0.34817,0.440991,0.558967,-2.51988,-1.05017,-1.50522
Q0050,-0.38934,0.0734895,0.47969,-1.17207,0.305478,-0.0669017,-0.65572,0.164382,0.369643,-0.800402,0.106832,0.220929,0.015076,-0.371809,-0.714714,0.0389462,0.658218,0.0275521,-0.184639,0.934983,0.455327,0.37326,0.840766,0.906718,0.670587,0.753047,0.802589,-1.55766,-0.304353,-1.41594
Q0055,-0.0314669,-0.213673,-0.0590185,-0.342934,0.0316803,0.0422755,-0.11116,0.299358,0.210424,0.160574,0.0424787,0.0358703,-0.204032,-0.10813,-0.638646,-0.144012,0.439119,-0.26896,-0.0981651,1.00843,0.21571,0.263736,0.393028,0.633269,0.419168,0.733319,0.618903,-1.079,-0.0429924,-1.11032
Q0060,0.168219,0.199347,0.319753,0.325312,0.369698,0.281026,0.527253,0.311711,0.18765,0.240772,0.289576,0.181621,0.0554306,-0.0129343,-0.337793,-0.169475,0.5951,-0.106863,-0.158334,1.26358,0.740499,0.201677,0.823046,0.713406,0.473437,0.807247,0.704743,-1.01773,0.128583,-0.923065
Q0065,0.0150412,0.0742298,-0.0312615,0.0222918,0.24015,0.327242,0.0897597,0.566132,0.0784487,0.229069,0.0987895,-1.91E-05,-0.730075,-0.605814,-1.19477,-0.0249128,0.528862,0.170704,0.0474053,0.858656,0.621596,0.0519201,0.724736,0.65598,0.084813,0.777256,0.815199,-1.44399,-0.348981,-1.00607
Q0070,-0.121582,0.195271,0.237891,0.438772,0.792997,0.356208,0.387675,0.418289,0.490468,0.249412,0.555297,0.345106,-0.222601,-0.267179,-0.315914,0.251252,0.298316,-0.0148603,0.107384,0.679503,0.654625,0.447089,0.726045,0.480208,0.69865,0.713315,0.784992,-0.946864,-0.447965,-0.838771
Q0075,-0.272879,-0.205304,-0.420143,-0.749085,-0.202365,-0.307931,-0.45258,0.149828,-0.286815,-0.319983,-0.0813038,-0.213425,-0.123978,-0.132525,-0.471673,-0.487503,0.21442,-0.0341748,-0.47749,0.253805,0.209509,-0.224836,0.137892,0.304953,-0.167763,0.349442,0.500534,-1.02828,-0.364776,-0.653867
Q0080,0.0837884,-0.0358047,-0.240246,-0.0932581,0.455673,-0.183108,0.240548,0.477031,-0.309062,-0.127676,0.447877,-0.214216,-0.959595,-1.29061,-1.00742,-0.813743,-0.444953,0.446092,-1.08164,-0.0985023,0.655008,-0.832778,0.000445832,1.10928,-0.735551,-0.367787,0.517903,-2.64891,-0.889192,-1.13191
Q0085,0.524555,0.349654,0.106483,-0.0753155,0.835069,-0.0376263,0.973182,0.693776,0.0788964,0.940236,0.441606,0.370659,0.444549,0.280313,-0.391918,0.899196,0.429741,-0.367889,0.632429,0.272441,-0.554578,0.634649,0.69275,0.536809,0.670553,0.284406,0.206339,-1.15088,-0.511602,-1.41292
Q0105,-0.746671,-0.886493,-0.838316,-2.27432,-0.65561,-0.619859,-2.06665,0.0130298,-0.898724,-2.08505,-0.590111,-0.746665,-0.345437,-0.561686,-1.26561,-0.692423,-0.102324,0.434997,-1.1477,0.225535,0.362846,-0.900713,0.2391,0.872593,-0.904962,0.146744,0.0692966,-1.81152,-0.441915,-0.849341
Q0110,-1.32952,-1.45967,-1.70017,-1.75417,-1.28773,-1.55526,-1.1278,-1.34342,-1.49528,-1.46406,-1.20022,-1.35859,1.82724,1.98524,1.56683,-1.17045,-0.832086,-0.945473,-1.45801,-1.37632,-1.29313,-1.3732,-1.27618,-0.809821,-1.03106,-1.12308,-1.02467,2.20831,2.21176,1.99846
Q0115,-0.412545,-0.524281,-0.466346,-0.885395,-0.0383804,-0.03721,-0.35948,0.502005,-0.0308126,-0.615508,0.0871368,-0.169909,-0.316123,-0.653377,-0.968062,-0.0611861,0.616138,0.251904,-0.345402,0.658249,0.439585,0.159069,0.585721,0.758012,0.00739842,0.609301,0.619975,-1.47249,-0.0957095,-0.854849
Q0120,-0.281751,-0.149746,-0.0253616,-0.349209,0.193284,0.482391,0.0190076,0.575237,0.401139,-0.20825,0.29945,0.049806,-0.362074,-0.433027,-0.917146,0.148109,0.528169,0.538686,-0.0120989,0.621746,0.603019,0.173427,0.879091,1.00968,0.340527,0.64137,0.716603,-1.29967,-0.0686474,-0.555857
Q0130,0.0113581,0.141023,0.514037,0.481532,0.850735,0.860847,0.309067,0.992232,0.779185,-0.133439,0.502569,0.28902,-0.74964,-1.15562,-0.662775,0.405444,0.571355,0.550822,0.214774,0.613484,0.904801,0.304361,0.670502,0.735536,-0.0244075,0.556382,0.691526,-0.890102,-0.0163757,-0.17811
Q0140,-0.0637592,-0.373091,-0.267237,-0.366895,0.337974,-0.0498056,0.193555,0.509723,-0.0033122,-0.15604,0.418589,-0.0903759,-0.380682,-0.721639,-1.35774,0.184324,0.863727,0.384277,-0.369118,0.8254,0.406049,-0.154834,1.2891,1.20183,-0.0697481,1.00066,0.848819,-2.37494,-0.166863,-1.15095
Q0160,0.0256222,-0.0696103,-0.0627083,0.196639,0.75499,-0.180438,0.589715,0.508674,0.171201,0.330575,0.500598,0.231861,-0.443223,-0.637488,-1.15709,0.190229,0.568785,0.151675,-0.0633469,0.744085,0.245965,0.279595,0.816227,1.16374,0.249511,0.229406,0.322577,-1.65283,-0.631066,-1.30706
Q0250,-0.509638,0.0527719,0.117102,-1.31291,0.610441,-0.07729,-0.451318,0.174824,0.0221715,-0.610457,0.429193,0.47833,0.481786,0.00579771,-0.194929,0.332193,0.446038,0.306888,-0.159587,-0.0340413,0.148615,0.515009,0.197362,0.321473,0.480554,0.152033,0.167666,-0.746636,-0.393714,-0.639728
